ID,IID,Title,Description,Type,URL,State,Confidential,Locked,Milestone,Labels,Author,Author Username,Assignee,Assignee Username,Created At (UTC),Updated At (UTC),Closed At (UTC),Due Date,Start Date,Parent ID,Parent IID,Parent Title,Time Estimate,Time Spent,Weight
174061476,16,"[US1.6] As a user, i want to see the top rated movies of all time.","**Acceptance Criteria:** 
- Show the top rated movies of all time and their rating.
- Be able to navigate to each Movie page or to see the full list page.

**Motive:** 
- User can know what other users of the website think of said movies.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/16,Closed,No,No,,US,Lucas Ribeiro Caetano,lucas.rib.caetano,"","",2025-09-28 15:37:51,2025-09-28 17:58:39,2025-09-28 17:58:38,,,,,,,,
174061479,17,"[US2.2] As a user, I want to mark a movie as watched, so that it isnt recommended anymore.","**Acceptance Criteria:** 
- Ability to mark the movie as watched if logged in.

**Motive:** 
- User wants to add the movie to the watched list.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/17,Open,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 15:38:22,2025-10-01 18:16:42,,,,,,,,,
174061488,18,"[US1.7] As a user, i want to access the top rated reviews of all time","**Acceptance Criteria:** 
- Show the top rated reviews of all time for multiple movies.
- Be able to see each review, who wrote it, its rating, post date, related movie and to navigate to that review's page.
**Motive:** User can find valuable reviews and thoughs on particular movies.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/18,Closed,No,No,,"US, done",Lucas Ribeiro Caetano,lucas.rib.caetano,"","",2025-09-28 15:39:14,2025-09-28 17:32:28,2025-09-28 17:32:28,,,,,,,,
174061538,19,"[US3.3] As a user i want to filter the displayed movies, so that I can easily find movies.","**Acceptance Criteria:** 
- Multiple categories(gender, actors, director, year, length, rating) can be combined.
- There is a way to reset the categories being filtered.
- Year filter should be a range.

**Motive**:
- If the user wants to look for a certain genre of movies he should be able to do so.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/19,Open,No,No,,"US, done",Francisco Loureiro,floureiro4,"","",2025-09-28 15:43:57,2025-10-01 18:06:37,,,,,,,,,
174061543,20,"[US2.3] As a user, I want to add the movie to the watch list.","**Acceptance Criteria:** 
- Movie is in the watch list 

**Motive:**
- User wants to watch the movie later",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/20,Closed,No,No,,US,Gonçalo Borges,goncalonpb,"","",2025-09-28 15:44:06,2025-09-28 17:58:39,2025-09-28 17:58:39,,,,,,,,
174061549,21,"[US2.4] As a user, I want to rate a specific movie.","**Acceptance Criteria:** Ability to rate a watched movie if logged in.

**Motive:** User wants to rate the movie.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/21,Closed,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 15:44:49,2025-09-28 17:32:51,2025-09-28 17:32:51,,,,,,,,
174061567,22,"[US7.2] As a developer, i want to store sensitive information with encryption.","**Acceptance Criteria:**
- Passwords and other sensitive information must be stored using hash algorithm.

**Motive:**
- Prevent exposure of private information.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/22,Closed,No,No,,"US, done",Francisco Pereira,FranciscoPereira04,"","",2025-09-28 15:46:24,2025-09-28 17:32:37,2025-09-28 17:32:37,,,,,,,,
174061610,23,"[US2.5] As a user, I want to see the popular reviews for a specific movie.","**Acceptance Criteria:** 
- Display reviews with the most likes, dislikes and comments.
- Clicking on a user or review should navigate to the corresponding page.
- Ability to like or dislike the review.
- Clicking on comments navigates to the review's page.

**Motive:** User wants to see some popular reviews.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/23,Closed,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 15:49:39,2025-09-28 17:32:58,2025-09-28 17:32:58,,,,,,,,
174061611,24,[US3.4] As a user i want to be able to sort movies.,"**Acceptance criteria:**
- Sort by: ascending/descending, year, rating or lenght.
- Upon sorting, list of movies is updated accordingly.

**Motive:**
- If the user want to search for a certain series of movies in chronological order, he must be able to.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/24,Closed,No,No,,"US, done",Francisco Loureiro,floureiro4,"","",2025-09-28 15:49:41,2025-09-28 17:46:52,2025-09-28 17:41:15,,,,,,,,
174061687,25,"[US2.6] As a user, I want to see the recent reviews for a specific movie.","**Acceptance Criteria:** Display recent reviews. Clicking on a user or review should navigate to the corresponding page. Ability to like or dislike the review. Clicking on comments navigates to the review's page.

**Motive:** User wants to see the most recent reviews for a movie.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/25,Closed,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 15:53:55,2025-09-28 17:33:05,2025-09-28 17:33:05,,,,,,,,
